Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2021-12-21,0,0,0,0,2,2,3
2021-12-22,0,0,0,0,1,1,3
2021-12-23,0,0,0,0,0,1,3
2021-12-24,0,0,0,0,0,0,1
2021-12-25,0,0,0,0,0,1,1
2021-12-26,0,0,0,0,0,0,1
2021-12-27,7,7,8,11,14,14,15
2021-12-28,0,0,0,1,3,3,5
2021-12-29,0,0,0,1,3,3,4
2021-12-30,0,0,0,0,2,3,4
2021-12-31,0,0,0,0,2,3,4
2022-01-01,0,0,0,0,2,2,4
2022-01-02,0,0,0,0,2,2,3
2022-01-03,0,0,0,0,1,2,3
2022-01-04,0,0,0,0,1,1,2
2022-01-05,9,9,10,12,16,16,17
2022-01-06,0,0,0,1,4,4,6
2022-01-07,0,0,0,1,3,4,5
2022-01-08,0,0,0,1,3,3,5
2022-01-09,0,0,0,1,3,4,5
2022-01-10,0,0,0,1,3,3,5
2022-01-11,8,8,9,12,15,16,17
2022-01-12,0,0,0,2,5,6,8
2022-01-13,0,0,0,1,4,5,7
2022-01-14,108,108,108,108,108,108,108
2022-01-15,1,2,2,6,11,12,15
2022-01-16,3,5,6,22,34,34,34
2022-01-17,13,16,18,28,40,42,47
2022-01-18,14,17,19,32,45,48,53
2022-01-19,12,15,16,26,37,39,44
2022-01-20,74,78,80,94,105,105,105
2022-01-21,4,6,7,14,21,23,26
2022-01-22,55,59,61,72,85,88,93
2022-01-23,30,35,37,54,72,76,84
2022-01-24,33,37,40,59,78,83,91
2022-01-25,43,49,52,71,92,97,106
2022-01-26,7,8,8,15,26,28,32
2022-01-27,38,42,44,55,67,69,75
2022-01-28,4,5,6,12,19,21,25
2022-01-29,16,19,21,32,45,48,55
2022-01-30,14,17,19,30,43,46,53
2022-01-31,15,17,18,25,33,35,41
2022-02-01,2,3,4,9,14,16,18
2022-02-02,43,46,48,57,67,76,76
2022-02-03,11,14,15,26,37,39,44
2022-02-04,9,13,14,24,36,38,43
2022-02-05,8,11,12,23,34,37,42
2022-02-06,0,1,2,5,11,12,14
2022-02-07,0,0,0,3,7,7,9
2022-02-08,0,0,0,2,5,5,7
2022-02-09,6,6,7,11,16,17,20
2022-02-10,0,0,0,1,5,6,9
2022-02-11,4,4,5,9,14,16,24
2022-02-12,0,0,0,1,3,4,5
2022-02-13,0,0,0,0,2,3,4
2022-02-14,10,11,12,15,18,19,20
2022-02-15,0,0,0,2,6,7,9
2022-02-16,0,0,0,2,5,6,8
2022-02-17,0,0,0,1,4,4,6
2022-02-18,0,0,0,1,3,3,5
2022-02-19,0,0,0,0,2,3,4
2022-02-20,0,0,0,0,2,2,4
2022-02-21,0,0,0,0,1,2,3
2022-02-22,0,0,0,0,0,1,2
2022-02-23,0,0,0,0,0,0,2
2022-02-24,0,0,0,0,0,0,0
2022-02-25,0,0,0,0,0,0,0
2022-02-26,0,0,0,0,0,0,0
2022-02-27,0,0,0,0,0,0,0
2022-02-28,2,3,3,5,6,7,8
2022-03-01,0,0,0,0,0,0,0
2022-03-02,0,0,0,0,0,0,0
2022-03-03,0,0,0,1,2,2,2
2022-03-04,4,5,5,7,10,10,11
2022-03-05,0,0,0,1,3,3,4
2022-03-06,0,0,0,1,2,3,4
2022-03-07,0,0,0,1,2,3,4
2022-03-08,0,0,0,1,3,3,4
2022-03-09,0,0,0,1,2,3,4
2022-03-10,0,0,0,1,2,3,4
2022-03-11,0,0,0,0,2,3,4
2022-03-12,0,0,0,0,2,2,4
2022-03-13,0,0,0,0,1,2,3
2022-03-14,0,0,0,0,1,2,2
2022-03-15,10,11,11,14,17,17,19
2022-03-16,0,0,0,2,6,7,9
2022-03-17,0,0,0,2,5,6,8
2022-03-18,0,0,0,2,4,5,6
2022-03-19,0,0,0,2,5,6,8
2022-03-20,0,0,0,2,5,6,8
2022-03-21,0,0,0,1,4,5,7
2022-03-22,0,0,0,1,3,4,6
2022-03-23,0,0,0,1,3,4,5
2022-03-24,0,0,0,1,2,3,5
2022-03-25,0,0,0,0,2,3,4
2022-03-26,0,0,0,0,2,3,4
2022-03-27,0,0,0,0,2,3,4
2022-03-28,0,0,0,0,2,2,3
2022-03-29,0,0,0,0,0,1,2
2022-03-30,0,0,0,0,0,0,1
2022-03-31,0,0,0,0,0,0,1
2022-04-01,0,0,0,0,1,1,1
2022-04-02,0,0,0,0,0,1,2
2022-04-03,0,0,0,0,0,0,1
2022-04-04,0,0,0,0,0,0,1
2022-04-05,0,0,0,0,0,0,0
2022-04-06,0,0,0,0,0,0,0
2022-04-07,0,0,0,0,0,0,0
2022-04-08,0,0,0,0,0,0,0
2022-04-09,0,0,0,0,0,0,0
2022-04-10,0,0,0,0,0,0,0
2022-04-11,0,0,0,0,0,0,0
2022-04-12,0,0,0,0,0,0,0
2022-04-13,0,0,0,0,0,0,0
2022-04-14,0,0,0,0,0,0,0
2022-04-15,0,0,0,0,0,0,0
2022-04-16,0,0,0,0,0,0,0
2022-04-17,0,0,0,0,0,0,0
2022-04-18,0,0,0,0,0,0,0
2022-04-19,0,0,0,0,0,0,0
2022-04-20,0,0,0,0,0,0,0
2022-04-21,0,0,0,0,0,0,0
2022-04-22,0,0,0,0,0,0,0
2022-04-23,0,0,0,1,1,1,1
2022-04-24,0,0,0,0,0,0,0
2022-04-25,0,0,0,0,0,0,0
2022-04-26,0,0,0,0,0,0,0
2022-04-27,0,0,0,0,0,0,0
2022-04-28,0,0,0,0,0,0,0
2022-04-29,0,0,0,0,0,0,0
2022-04-30,0,0,0,0,0,0,0
2022-05-01,0,0,0,0,0,0,0
2022-05-02,0,0,0,0,0,0,0
2022-05-03,0,0,0,0,0,0,0
2022-05-04,0,0,0,0,0,0,0
2022-05-05,0,0,0,0,0,0,0
2022-05-06,0,0,0,0,0,0,0
2022-05-07,0,0,0,0,0,0,0
2022-05-08,0,0,0,0,0,0,0
2022-05-09,0,0,0,2,2,2,2
2022-05-10,0,0,0,0,0,0,0
2022-05-11,0,0,0,0,0,0,0
2022-05-12,0,0,0,1,1,1,1
2022-05-13,0,0,0,0,0,0,0
2022-05-14,0,0,0,0,0,0,0
2022-05-15,0,0,0,0,0,0,0
2022-05-16,0,0,0,0,0,0,0
2022-05-17,0,0,0,0,0,0,0
2022-05-18,0,0,0,0,0,0,0
2022-05-19,0,0,0,0,0,0,0
2022-05-20,0,0,0,0,0,0,0
2022-05-21,0,0,0,0,0,0,0
2022-05-22,0,0,0,0,0,0,0
2022-05-23,0,0,0,0,0,0,0
2022-05-24,0,0,0,0,0,0,0
2022-05-25,0,0,0,0,0,0,0
2022-05-26,0,0,0,0,0,0,0
2022-05-27,0,0,0,1,1,1,1
2022-05-28,0,0,0,0,0,0,0
2022-05-29,0,0,0,0,0,0,0
2022-05-30,0,0,0,0,0,0,0
2022-05-31,0,0,0,0,0,0,0
2022-06-01,0,0,0,0,0,0,0
2022-06-02,0,0,0,0,0,0,0
2022-06-03,0,0,0,0,0,0,6
2022-06-04,0,0,0,0,0,0,0
2022-06-05,0,0,0,0,0,0,0
2022-06-06,0,0,0,1,1,1,1
2022-06-07,0,0,0,0,0,0,0
2022-06-08,0,0,0,0,0,0,0
2022-06-09,0,0,0,0,0,0,0
2022-06-10,0,0,0,1,1,1,1
2022-06-11,0,0,0,1,1,1,1
2022-06-12,0,0,0,0,0,0,0
2022-06-13,0,0,0,0,0,0,0
2022-06-14,0,0,0,0,0,0,0
2022-06-15,0,0,0,0,0,0,0
2022-06-16,0,0,0,1,1,1,1
2022-06-17,0,0,0,0,0,0,0
2022-06-18,0,0,0,0,0,0,0
2022-06-19,0,0,0,0,0,5,5
2022-06-20,0,0,0,0,0,0,0
2022-06-21,0,0,0,0,0,0,0
2022-06-22,0,0,0,0,0,0,0
2022-06-23,0,0,0,0,0,0,0
2022-06-24,0,0,0,0,0,0,0
2022-06-25,0,0,0,0,0,0,0
2022-06-26,0,0,0,0,0,0,0
2022-06-27,0,0,0,2,3,3,3
2022-06-28,0,0,0,0,0,0,0
2022-06-29,0,0,0,0,0,0,0
2022-06-30,0,0,0,0,0,0,0
2022-07-01,0,0,0,0,0,0,0
2022-07-02,0,0,0,0,0,0,0
2022-07-03,0,0,0,0,0,0,0
2022-07-04,0,0,0,1,4,4,4
2022-07-05,2,2,2,4,6,6,7
2022-07-06,0,0,0,0,0,0,0
2022-07-07,0,0,0,0,0,0,0
2022-07-08,0,0,0,0,0,0,0
2022-07-09,0,0,0,0,0,0,0
2022-07-10,0,0,0,0,0,0,0
2022-07-11,0,0,0,0,0,0,0
2022-07-12,2,3,3,4,6,7,8
2022-07-13,0,0,0,1,4,4,4
2022-07-14,0,0,0,0,0,0,0
2022-07-15,0,0,0,0,0,0,0
2022-07-16,0,0,0,0,0,0,0
2022-07-17,0,0,0,0,0,0,0
2022-07-18,0,0,0,0,0,0,0
2022-07-19,0,0,0,0,0,0,0
2022-07-20,0,0,0,0,0,0,0
2022-07-21,0,0,0,0,0,0,0
2022-07-22,0,0,0,0,0,0,0
2022-07-23,0,0,0,0,0,0,0
2022-07-24,0,0,0,0,0,0,0
2022-07-25,0,0,0,2,3,3,3
2022-07-26,0,0,0,0,0,0,0
2022-07-27,0,0,0,0,0,0,0
2022-07-28,3,3,4,5,7,8,8
2022-07-29,0,0,0,0,0,0,0
2022-07-30,0,0,0,0,0,0,0
2022-07-31,0,0,0,0,0,0,0
2022-08-01,0,0,0,0,0,0,0
2022-08-02,1,1,1,3,5,6,7
2022-08-03,0,0,0,0,0,0,0
2022-08-04,0,0,0,0,0,0,0
2022-08-05,1,1,2,4,6,6,7
2022-08-06,0,0,0,0,0,0,1
2022-08-07,0,0,0,0,0,0,2
2022-08-08,0,0,0,0,5,5,5
2022-08-09,0,0,0,0,0,0,1
2022-08-10,0,0,0,0,0,0,1
2022-08-11,0,0,0,0,0,0,0
2022-08-12,2,2,2,4,6,6,7
2022-08-13,0,0,0,0,0,0,2
2022-08-14,0,0,0,0,0,0,1
2022-08-15,0,0,0,0,0,0,0
2022-08-16,0,0,0,0,0,0,0
2022-08-17,0,0,0,0,0,0,0
2022-08-18,0,0,0,0,0,0,0
2022-08-19,0,0,0,0,0,0,0
2022-08-20,0,0,0,0,0,0,0
2022-08-21,0,0,0,0,0,0,0
2022-08-22,0,0,0,0,0,5,5
2022-08-23,0,0,0,0,0,0,0
2022-08-24,3,4,4,5,7,8,9
2022-08-25,0,0,0,0,0,0,0
2022-08-26,0,0,0,0,0,0,2
2022-08-27,0,0,0,1,1,1,1
2022-08-28,0,0,0,0,0,0,0
2022-08-29,0,0,0,0,0,0,0
2022-08-30,0,0,0,0,0,0,0
2022-08-31,0,0,0,0,0,0,0
2022-09-01,0,0,0,0,0,0,0
2022-09-02,0,0,0,0,0,0,0
2022-09-03,0,0,0,0,0,0,0
2022-09-04,0,0,0,0,0,0,0
2022-09-05,1,1,2,3,6,6,7
2022-09-06,1,1,2,3,5,6,6
2022-09-07,1,1,1,1,3,3,4
2022-09-08,0,0,0,0,0,0,1
2022-09-09,0,0,0,0,0,0,2
2022-09-10,0,0,0,0,0,0,3
2022-09-11,0,0,0,0,0,0,1
2022-09-12,0,0,0,0,0,0,0
2022-09-13,0,0,0,0,0,0,0
2022-09-14,2,2,2,4,5,6,7
2022-09-15,0,0,0,0,0,0,1
2022-09-16,0,0,0,0,0,0,0
2022-09-17,0,0,0,0,0,0,0
2022-09-18,0,0,0,0,0,0,0
2022-09-19,0,0,0,0,0,0,0
2022-09-20,0,0,0,0,0,0,0
2022-09-21,0,0,0,0,0,0,0
2022-09-22,0,0,0,0,0,0,0
2022-09-23,0,0,0,0,0,0,0
2022-09-24,0,0,0,0,0,0,0
2022-09-25,0,0,0,0,0,0,0
2022-09-26,1,1,2,3,5,6,7
2022-09-27,0,0,0,0,0,0,0
2022-09-28,0,0,0,0,0,0,0
2022-09-29,0,0,0,0,0,0,0
2022-09-30,0,0,0,0,0,0,0
2022-10-01,0,0,0,0,0,0,0
2022-10-02,0,0,0,0,1,1,1
2022-10-03,1,1,2,3,6,6,7
2022-10-04,0,0,0,0,0,0,0
2022-10-05,0,0,0,2,3,3,3
2022-10-06,2,3,3,4,6,7,8
2022-10-07,0,0,0,0,0,0,0
2022-10-08,0,0,0,2,2,2,2
2022-10-09,0,0,0,0,0,0,0
2022-10-10,0,0,0,0,0,0,0
2022-10-11,0,0,0,0,0,0,0
2022-10-12,0,0,0,0,0,0,0
2022-10-13,0,0,0,0,0,0,0
2022-10-14,0,0,0,0,0,0,0
2022-10-15,0,0,0,1,1,1,1
2022-10-16,0,0,0,0,0,0,0
2022-10-17,6,7,7,9,11,12,13
2022-10-18,0,0,0,0,0,0,0
2022-10-19,0,0,0,0,2,2,3
2022-10-20,0,0,0,0,2,2,4
2022-10-21,0,0,0,0,2,2,3
2022-10-22,0,0,0,0,1,2,4
2022-10-23,0,0,0,0,1,2,3
2022-10-24,4,4,5,7,9,10,12
2022-10-25,1,1,1,2,4,4,5
2022-10-26,3,3,4,6,9,9,11
2022-10-27,0,0,0,1,3,4,5
2022-10-28,0,0,0,1,3,4,5
2022-10-29,0,0,0,1,3,3,4
2022-10-30,0,0,0,1,3,4,5
2022-10-31,0,0,0,1,3,3,5
2022-11-01,0,0,0,2,2,2,2
2022-11-02,0,0,0,0,0,1,2
2022-11-03,0,0,0,0,0,1,1
2022-11-04,0,0,0,0,0,0,1
2022-11-05,0,0,0,0,0,0,0
2022-11-06,0,0,0,0,0,0,0
2022-11-07,2,2,3,4,6,6,7
2022-11-08,0,0,0,0,0,0,0
2022-11-09,0,0,0,0,0,0,0
2022-11-10,0,0,0,0,0,0,0
2022-11-11,0,0,0,0,0,0,0
2022-11-12,0,0,0,0,0,0,0
2022-11-13,0,0,0,2,2,2,2
2022-11-14,0,0,0,0,0,0,0
2022-11-15,0,0,0,0,0,0,0
2022-11-16,0,0,0,0,0,0,0
2022-11-17,0,0,0,0,0,0,0
2022-11-18,0,0,0,0,0,0,0
2022-11-19,0,0,0,0,0,0,0
2022-11-20,0,0,0,0,0,0,0
2022-11-21,0,0,0,0,0,0,0
2022-11-22,2,2,2,4,5,6,7
2022-11-23,0,0,0,0,0,0,0
2022-11-24,0,0,0,0,0,0,0
2022-11-25,0,0,0,0,0,0,0
2022-11-26,0,0,0,0,0,0,0
2022-11-27,0,0,0,0,0,0,0
2022-11-28,0,0,0,0,0,0,0
2022-11-29,0,0,0,0,0,0,0
2022-11-30,0,0,0,0,0,0,0
2022-12-01,0,0,0,0,0,0,0
2022-12-02,0,0,0,0,0,0,0
2022-12-03,0,0,0,0,0,0,0
2022-12-04,0,0,0,0,0,0,0
2022-12-05,0,0,0,0,0,0,0
2022-12-06,0,0,0,0,0,0,0
2022-12-07,0,0,0,0,0,0,0
2022-12-08,0,0,0,0,0,0,0
2022-12-09,0,0,0,0,0,0,0
2022-12-10,0,0,0,0,0,0,0
2022-12-11,0,0,0,0,0,0,0
2022-12-12,0,0,0,0,0,0,0
2022-12-13,0,0,0,0,0,0,0
2022-12-14,0,0,0,0,0,0,0
2022-12-15,0,0,0,0,0,0,0
2022-12-16,0,0,0,0,0,0,0
2022-12-17,0,0,0,0,0,0,0
2022-12-18,0,0,0,0,0,0,0
2022-12-19,0,0,0,0,0,0,0
2022-12-20,0,0,0,0,0,0,0
2022-12-21,0,0,0,0,0,0,0
2022-12-22,0,0,0,0,3,3,3
2022-12-23,0,0,0,0,0,0,0
2022-12-24,0,0,0,0,0,0,0
2022-12-25,0,0,0,0,0,0,0
2022-12-26,3,3,3,5,7,7,8
2022-12-27,0,0,0,0,0,0,0
2022-12-28,0,0,0,0,0,0,0
2022-12-29,0,0,0,0,0,0,0
2022-12-30,0,0,0,0,0,0,0
2022-12-31,0,0,0,0,0,0,0
2023-01-01,0,0,0,0,0,0,0
2023-01-02,0,0,0,0,0,0,0
2023-01-03,0,0,0,0,0,0,0
2023-01-04,0,0,0,0,0,0,0
2023-01-05,0,0,0,0,0,0,0
2023-01-06,0,0,0,0,0,0,0
2023-01-07,0,0,0,0,0,0,0
2023-01-08,0,0,0,0,0,0,0
2023-01-09,0,0,0,0,0,0,0
2023-01-10,0,0,1,1,1,1,1
2023-01-11,0,0,0,0,0,0,0
2023-01-12,0,0,0,0,0,0,0
2023-01-13,0,0,0,0,0,0,0
2023-01-14,0,0,0,0,0,0,0
2023-01-15,0,0,0,0,0,0,0
2023-01-16,1,1,2,3,5,6,7
2023-01-17,1,1,1,1,3,3,4
2023-01-18,0,0,0,0,0,0,0
2023-01-19,0,0,0,0,0,0,0
2023-01-20,0,0,0,0,0,0,0
2023-01-21,0,0,0,0,0,0,0
2023-01-22,0,0,0,0,0,0,0
2023-01-23,0,0,0,0,0,0,0
2023-01-24,0,0,0,0,0,0,0
2023-01-25,0,0,0,0,0,0,0
2023-01-26,0,0,0,0,0,0,0
2023-01-27,0,0,0,0,0,0,0
2023-01-28,0,0,0,0,0,0,0
2023-01-29,0,0,0,0,0,0,0
2023-01-30,0,0,0,0,0,0,0
2023-01-31,1,1,2,3,5,5,6
2023-02-01,0,0,0,0,0,0,0
2023-02-02,0,0,0,0,0,0,0
2023-02-03,0,0,0,0,0,0,0
2023-02-04,0,0,0,0,0,0,0
2023-02-05,0,0,0,0,0,0,0
2023-02-06,0,0,0,0,0,0,0
2023-02-07,0,0,0,0,0,0,0
2023-02-08,0,0,0,0,0,0,0
2023-02-09,0,0,0,0,0,0,0
2023-02-10,0,0,0,0,0,0,0
2023-02-11,0,0,0,0,0,0,0
2023-02-12,0,0,0,0,0,0,0
2023-02-13,0,0,0,0,0,0,0
2023-02-14,0,0,0,0,0,0,0
2023-02-15,0,0,0,0,0,0,0
2023-02-16,0,0,1,1,1,1,1
2023-02-17,0,0,0,0,0,0,0
2023-02-18,0,0,0,0,0,0,0
2023-02-19,0,0,0,0,0,0,0
2023-02-20,0,0,0,0,0,0,0
2023-02-21,0,0,0,0,0,0,0
2023-02-22,0,0,0,0,0,0,0
2023-02-23,0,0,0,0,0,0,0
2023-02-24,0,0,0,2,3,3,3
2023-02-25,0,0,0,0,0,0,0
2023-02-26,0,0,0,0,0,0,0
2023-02-27,0,0,0,0,0,0,0
2023-02-28,0,0,0,0,0,0,0
